Day_of_Week,Age_of_Driver,Sex,Educational_Level,Vehicle_Driver,Driving_Experience,Speed_Limit,Weather,Road_Light_Conditions,Road_Surface_Conditions,Cause_of_Accident,Accident_Severity
Monday,58,Male,Secondary,Motorcycle,26,70,Rain,Twilight,Wet,Fatigue,Serious Injury
Thursday,34,Female,Illiterate,Taxi,16,100,Rain,Daylight,Snow,Fatigue,Serious Injury
Saturday,57,Male,Secondary,Lorry,1,60,Cloudy,Daylight,Snow,Drunk Driving,Serious Injury
Tuesday,48,Female,Primary,Bus,23,30,Fog,Twilight,Wet,Fatigue,Slight Injury
Tuesday,51,Female,Illiterate,Motorcycle,0,60,Fog,Daylight,Ice,Drunk Driving,Fatal Injury
Monday,41,Female,Secondary,Lorry,6,70,Fog,Night,Snow,Overspeed,Fatal Injury
Tuesday,62,Male,Tertiary,Bus,29,30,Cloudy,Night,Dry,Fatigue,Slight Injury
Friday,52,Male,Illiterate,Automobile,13,50,Clear,Daylight,Wet,Drunk Driving,Serious Injury
Tuesday,65,Female,Illiterate,Bus,4,30,Rain,Night,Dry,Drunk Driving,Serious Injury
Thursday,23,Male,Tertiary,Lorry,18,80,Clear,Daylight,Wet,Fatigue,Serious Injury
Thursday,36,Female,Primary,Lorry,27,40,Cloudy,Night,Dry,Overspeed,Slight Injury
Sunday,47,Male,Tertiary,Automobile,27,80,Clear,Twilight,Ice,Fatigue,Serious Injury
Thursday,24,Male,Illiterate,Bus,10,100,Fog,Daylight,Wet,Drunk Driving,Fatal Injury
Sunday,27,Male,Primary,Bus,22,30,Fog,Daylight,Ice,Overspeed,Serious Injury
Thursday,58,Female,Secondary,Automobile,24,50,Clear,Daylight,Snow,Mechanical Failure,Slight Injury
Friday,49,Male,Secondary,Bus,1,60,Cloudy,Daylight,Wet,Distracted,Serious Injury
Sunday,51,Male,Secondary,Automobile,7,30,Clear,Daylight,Ice,Fatigue,Slight Injury
Wednesday,45,Female,Illiterate,Motorcycle,8,80,Fog,Daylight,Dry,Weather,Serious Injury
Saturday,32,Female,Tertiary,Lorry,26,30,Fog,Twilight,Ice,Drunk Driving,Serious Injury
Monday,47,Female,Primary,Motorcycle,2,30,Cloudy,Twilight,Wet,Overspeed,Serious Injury
Thursday,54,Female,Secondary,Taxi,1,30,Clear,Night,Ice,Overspeed,Serious Injury
Tuesday,46,Male,Primary,Taxi,6,50,Fog,Daylight,Dry,Mechanical Failure,Slight Injury
Thursday,39,Male,Illiterate,Taxi,4,70,Fog,Night,Dry,Fatigue,Serious Injury
Tuesday,21,Male,Secondary,Automobile,20,70,Clear,Night,Dry,Weather,Serious Injury
Saturday,37,Male,Illiterate,Bus,25,30,Clear,Twilight,Snow,Overspeed,Serious Injury
Saturday,49,Male,Tertiary,Motorcycle,4,50,Rain,Night,Wet,Mechanical Failure,Slight Injury
Saturday,53,Female,Illiterate,Motorcycle,19,50,Cloudy,Twilight,Dry,Drunk Driving,Slight Injury
Tuesday,67,Male,Illiterate,Motorcycle,12,100,Cloudy,Night,Snow,Mechanical Failure,Serious Injury
Thursday,21,Male,Tertiary,Motorcycle,20,30,Clear,Daylight,Dry,Fatigue,Slight Injury
Saturday,44,Male,Primary,Taxi,28,80,Cloudy,Night,Ice,Mechanical Failure,Serious Injury
Friday,34,Female,Tertiary,Motorcycle,19,80,Fog,Twilight,Wet,Overspeed,Fatal Injury
Sunday,29,Female,Tertiary,Bus,28,40,Clear,Twilight,Ice,Overspeed,Serious Injury
Tuesday,39,Male,Illiterate,Taxi,5,30,Clear,Twilight,Snow,Distracted,Slight Injury
Tuesday,34,Female,Primary,Motorcycle,19,40,Clear,Night,Ice,Mechanical Failure,Slight Injury
Thursday,27,Female,Secondary,Automobile,17,80,Rain,Night,Ice,Drunk Driving,Fatal Injury
Tuesday,18,Female,Tertiary,Lorry,24,80,Cloudy,Twilight,Dry,Weather,Serious Injury
Tuesday,39,Female,Primary,Lorry,1,30,Rain,Daylight,Ice,Weather,Serious Injury
Saturday,43,Female,Tertiary,Lorry,24,40,Fog,Daylight,Dry,Fatigue,Slight Injury
Thursday,35,Female,Tertiary,Taxi,25,40,Cloudy,Night,Dry,Distracted,Slight Injury
Saturday,67,Female,Tertiary,Motorcycle,5,30,Rain,Night,Wet,Mechanical Failure,Slight Injury
Sunday,31,Male,Tertiary,Taxi,8,100,Clear,Twilight,Snow,Drunk Driving,Serious Injury
Sunday,64,Male,Illiterate,Bus,24,40,Rain,Night,Snow,Distracted,Slight Injury
Saturday,46,Female,Primary,Automobile,2,100,Clear,Night,Snow,Overspeed,Fatal Injury
Sunday,29,Male,Primary,Automobile,0,60,Rain,Twilight,Dry,Fatigue,Serious Injury
Thursday,53,Male,Primary,Lorry,0,80,Rain,Twilight,Snow,Mechanical Failure,Fatal Injury
Monday,52,Female,Tertiary,Lorry,18,70,Rain,Night,Dry,Weather,Serious Injury
Saturday,69,Male,Illiterate,Lorry,4,100,Clear,Daylight,Wet,Drunk Driving,Serious Injury
Friday,29,Female,Tertiary,Motorcycle,12,100,Rain,Night,Snow,Overspeed,Fatal Injury
Friday,24,Female,Tertiary,Bus,18,100,Cloudy,Daylight,Dry,Distracted,Serious Injury
Tuesday,46,Female,Primary,Bus,11,50,Cloudy,Daylight,Snow,Fatigue,Slight Injury
Sunday,28,Male,Tertiary,Bus,15,40,Cloudy,Daylight,Snow,Distracted,Slight Injury
Friday,50,Male,Secondary,Bus,24,40,Clear,Twilight,Wet,Weather,Slight Injury
Tuesday,23,Male,Tertiary,Lorry,24,50,Clear,Twilight,Ice,Distracted,Slight Injury
Monday,64,Male,Secondary,Automobile,18,40,Cloudy,Twilight,Snow,Drunk Driving,Serious Injury
Thursday,32,Female,Tertiary,Lorry,2,50,Cloudy,Night,Wet,Overspeed,Serious Injury
Thursday,49,Female,Illiterate,Bus,11,100,Cloudy,Twilight,Snow,Mechanical Failure,Serious Injury
Thursday,68,Male,Illiterate,Lorry,29,30,Fog,Twilight,Snow,Drunk Driving,Serious Injury
Friday,28,Female,Primary,Bus,4,60,Cloudy,Night,Snow,Weather,Slight Injury
Monday,40,Female,Tertiary,Taxi,1,100,Rain,Night,Snow,Fatigue,Fatal Injury
Friday,43,Male,Secondary,Automobile,21,60,Fog,Daylight,Ice,Weather,Slight Injury
Sunday,51,Female,Secondary,Taxi,6,80,Fog,Night,Ice,Weather,Serious Injury
Friday,63,Male,Tertiary,Motorcycle,12,100,Clear,Night,Snow,Distracted,Serious Injury
Monday,51,Female,Secondary,Lorry,24,70,Rain,Twilight,Snow,Fatigue,Serious Injury
Monday,46,Male,Illiterate,Motorcycle,14,40,Clear,Daylight,Wet,Drunk Driving,Serious Injury
Sunday,21,Female,Secondary,Lorry,21,70,Clear,Daylight,Wet,Weather,Serious Injury
Monday,34,Female,Primary,Taxi,2,30,Rain,Night,Dry,Drunk Driving,Serious Injury
Monday,52,Male,Illiterate,Bus,27,60,Clear,Twilight,Ice,Mechanical Failure,Slight Injury
Thursday,30,Male,Illiterate,Bus,20,100,Rain,Twilight,Snow,Distracted,Serious Injury
Sunday,58,Male,Illiterate,Lorry,19,30,Rain,Twilight,Ice,Drunk Driving,Serious Injury
Wednesday,56,Male,Tertiary,Bus,4,30,Clear,Twilight,Wet,Fatigue,Slight Injury
Wednesday,32,Female,Tertiary,Taxi,23,40,Cloudy,Night,Ice,Weather,Slight Injury
Monday,46,Female,Illiterate,Bus,7,30,Clear,Twilight,Ice,Mechanical Failure,Slight Injury
Wednesday,46,Male,Tertiary,Taxi,21,100,Fog,Daylight,Snow,Fatigue,Serious Injury
Wednesday,28,Female,Secondary,Motorcycle,0,100,Clear,Daylight,Snow,Distracted,Serious Injury
Monday,69,Male,Tertiary,Taxi,7,60,Rain,Night,Wet,Mechanical Failure,Slight Injury
Wednesday,49,Male,Tertiary,Automobile,23,100,Fog,Twilight,Snow,Mechanical Failure,Serious Injury
Friday,19,Female,Illiterate,Automobile,17,70,Rain,Twilight,Wet,Mechanical Failure,Serious Injury
Tuesday,64,Female,Primary,Automobile,19,60,Cloudy,Twilight,Wet,Weather,Slight Injury
Sunday,31,Male,Primary,Lorry,27,40,Cloudy,Twilight,Dry,Overspeed,Slight Injury
Tuesday,37,Male,Primary,Lorry,15,60,Fog,Night,Dry,Mechanical Failure,Slight Injury
Monday,39,Male,Secondary,Lorry,17,50,Cloudy,Twilight,Dry,Fatigue,Slight Injury
Thursday,28,Female,Tertiary,Taxi,19,70,Cloudy,Night,Ice,Fatigue,Serious Injury
Sunday,44,Female,Primary,Lorry,11,50,Clear,Twilight,Dry,Distracted,Slight Injury
Monday,20,Female,Illiterate,Motorcycle,12,50,Clear,Twilight,Snow,Drunk Driving,Serious Injury
Thursday,34,Female,Primary,Automobile,12,80,Cloudy,Daylight,Snow,Drunk Driving,Serious Injury
Tuesday,61,Male,Primary,Taxi,9,100,Cloudy,Night,Dry,Overspeed,Serious Injury
Monday,45,Male,Tertiary,Automobile,6,40,Clear,Daylight,Ice,Weather,Slight Injury
Sunday,46,Male,Tertiary,Lorry,24,30,Cloudy,Night,Wet,Weather,Slight Injury
Sunday,38,Male,Tertiary,Taxi,13,50,Cloudy,Twilight,Ice,Mechanical Failure,Slight Injury
Saturday,64,Male,Secondary,Bus,29,60,Rain,Twilight,Ice,Overspeed,Serious Injury
Friday,33,Male,Secondary,Motorcycle,23,30,Cloudy,Night,Wet,Distracted,Slight Injury
Wednesday,54,Female,Primary,Lorry,15,60,Fog,Daylight,Wet,Distracted,Slight Injury
Thursday,37,Female,Tertiary,Lorry,14,60,Rain,Night,Wet,Drunk Driving,Serious Injury
Saturday,23,Male,Primary,Motorcycle,11,30,Fog,Night,Snow,Distracted,Serious Injury
Wednesday,36,Male,Illiterate,Motorcycle,8,30,Cloudy,Twilight,Wet,Mechanical Failure,Slight Injury
Wednesday,22,Female,Illiterate,Bus,7,100,Clear,Daylight,Wet,Fatigue,Serious Injury
Monday,20,Female,Tertiary,Lorry,17,60,Rain,Night,Ice,Distracted,Serious Injury
Wednesday,18,Female,Tertiary,Lorry,22,40,Clear,Daylight,Ice,Overspeed,Serious Injury
Friday,55,Female,Illiterate,Automobile,17,100,Rain,Daylight,Dry,Mechanical Failure,Serious Injury
Sunday,32,Male,Tertiary,Taxi,12,70,Clear,Night,Ice,Distracted,Serious Injury
Saturday,51,Male,Secondary,Taxi,27,80,Rain,Daylight,Wet,Weather,Serious Injury
Wednesday,52,Male,Secondary,Automobile,26,70,Rain,Twilight,Snow,Distracted,Serious Injury
Monday,66,Male,Tertiary,Taxi,17,40,Fog,Twilight,Ice,Weather,Slight Injury
Friday,42,Male,Illiterate,Motorcycle,14,100,Clear,Twilight,Ice,Mechanical Failure,Serious Injury
Tuesday,41,Female,Primary,Taxi,3,80,Fog,Twilight,Wet,Distracted,Serious Injury
Sunday,29,Male,Tertiary,Taxi,16,100,Fog,Daylight,Ice,Weather,Serious Injury
Sunday,35,Female,Tertiary,Automobile,4,30,Clear,Twilight,Ice,Fatigue,Slight Injury
Saturday,32,Male,Primary,Bus,21,80,Rain,Night,Wet,Drunk Driving,Fatal Injury
Sunday,61,Male,Tertiary,Taxi,15,60,Fog,Twilight,Ice,Mechanical Failure,Slight Injury
Wednesday,33,Male,Primary,Taxi,8,70,Clear,Night,Snow,Weather,Serious Injury
Monday,44,Male,Illiterate,Bus,9,80,Rain,Night,Dry,Overspeed,Serious Injury
Sunday,25,Male,Secondary,Automobile,23,60,Fog,Twilight,Ice,Distracted,Slight Injury
Sunday,63,Female,Illiterate,Bus,17,100,Fog,Twilight,Snow,Weather,Serious Injury
Tuesday,42,Female,Secondary,Automobile,16,40,Fog,Daylight,Ice,Weather,Slight Injury
Tuesday,34,Female,Primary,Motorcycle,17,80,Rain,Night,Dry,Weather,Serious Injury
Thursday,46,Male,Secondary,Automobile,6,60,Fog,Twilight,Wet,Drunk Driving,Serious Injury
Friday,25,Male,Illiterate,Motorcycle,3,100,Rain,Daylight,Dry,Overspeed,Serious Injury
Wednesday,32,Female,Secondary,Motorcycle,25,100,Cloudy,Twilight,Ice,Overspeed,Serious Injury
Sunday,44,Male,Primary,Automobile,4,100,Fog,Twilight,Dry,Fatigue,Serious Injury
Sunday,63,Male,Secondary,Lorry,27,40,Cloudy,Twilight,Dry,Drunk Driving,Slight Injury
Monday,67,Female,Tertiary,Automobile,22,30,Clear,Night,Wet,Weather,Slight Injury
Thursday,69,Male,Illiterate,Taxi,15,40,Fog,Twilight,Ice,Mechanical Failure,Slight Injury
Friday,24,Female,Tertiary,Taxi,2,40,Clear,Daylight,Dry,Drunk Driving,Serious Injury
Thursday,20,Male,Primary,Lorry,25,70,Clear,Twilight,Dry,Drunk Driving,Serious Injury
Saturday,46,Female,Secondary,Motorcycle,17,100,Clear,Twilight,Wet,Overspeed,Serious Injury
Friday,61,Male,Tertiary,Lorry,28,60,Cloudy,Daylight,Snow,Fatigue,Slight Injury
Sunday,41,Male,Tertiary,Taxi,22,80,Rain,Daylight,Ice,Fatigue,Serious Injury
Sunday,20,Female,Secondary,Lorry,20,70,Cloudy,Night,Snow,Drunk Driving,Fatal Injury
Friday,37,Male,Secondary,Automobile,13,100,Cloudy,Night,Snow,Drunk Driving,Serious Injury
Sunday,63,Male,Illiterate,Lorry,14,50,Clear,Night,Wet,Distracted,Slight Injury
Wednesday,32,Female,Tertiary,Motorcycle,16,40,Fog,Night,Wet,Weather,Slight Injury
Friday,42,Male,Tertiary,Automobile,0,50,Rain,Daylight,Ice,Overspeed,Fatal Injury
Thursday,47,Female,Primary,Bus,24,100,Clear,Twilight,Snow,Weather,Serious Injury
Friday,31,Male,Illiterate,Taxi,20,70,Rain,Twilight,Dry,Mechanical Failure,Serious Injury
Sunday,24,Male,Primary,Taxi,16,60,Cloudy,Twilight,Snow,Mechanical Failure,Slight Injury
Wednesday,34,Male,Tertiary,Lorry,22,70,Rain,Night,Wet,Fatigue,Serious Injury
Wednesday,61,Male,Primary,Automobile,24,60,Rain,Daylight,Dry,Overspeed,Serious Injury
Saturday,37,Female,Tertiary,Bus,10,60,Fog,Daylight,Dry,Weather,Slight Injury
Thursday,53,Male,Tertiary,Automobile,16,100,Clear,Daylight,Wet,Fatigue,Serious Injury
Tuesday,26,Female,Primary,Taxi,25,30,Rain,Twilight,Dry,Mechanical Failure,Slight Injury
Tuesday,55,Male,Primary,Automobile,13,100,Rain,Night,Snow,Drunk Driving,Fatal Injury
Friday,65,Male,Secondary,Bus,28,40,Cloudy,Daylight,Wet,Overspeed,Serious Injury
Saturday,39,Male,Secondary,Lorry,19,70,Cloudy,Night,Ice,Overspeed,Serious Injury
Monday,19,Male,Secondary,Motorcycle,29,60,Rain,Daylight,Wet,Weather,Serious Injury
Friday,41,Female,Tertiary,Automobile,18,100,Clear,Night,Ice,Distracted,Serious Injury
Saturday,25,Female,Primary,Motorcycle,20,100,Rain,Daylight,Ice,Weather,Serious Injury
Thursday,28,Female,Illiterate,Taxi,6,70,Rain,Night,Wet,Drunk Driving,Fatal Injury
Thursday,30,Female,Tertiary,Lorry,23,70,Fog,Daylight,Wet,Drunk Driving,Fatal Injury
Thursday,34,Male,Illiterate,Lorry,12,60,Clear,Daylight,Ice,Fatigue,Slight Injury
Thursday,25,Female,Primary,Automobile,17,80,Fog,Night,Ice,Overspeed,Fatal Injury
Thursday,38,Female,Tertiary,Lorry,22,50,Clear,Night,Dry,Fatigue,Slight Injury
Saturday,35,Male,Illiterate,Automobile,29,40,Clear,Twilight,Wet,Drunk Driving,Serious Injury
Saturday,47,Male,Illiterate,Automobile,13,40,Clear,Night,Wet,Distracted,Slight Injury
Wednesday,35,Male,Secondary,Motorcycle,0,80,Fog,Daylight,Dry,Overspeed,Fatal Injury
Tuesday,63,Male,Secondary,Lorry,6,30,Fog,Daylight,Wet,Drunk Driving,Serious Injury
Sunday,64,Female,Secondary,Automobile,7,80,Fog,Night,Dry,Distracted,Serious Injury
Thursday,48,Female,Tertiary,Motorcycle,17,30,Cloudy,Twilight,Dry,Weather,Slight Injury
Monday,55,Male,Primary,Bus,8,30,Fog,Night,Wet,Mechanical Failure,Slight Injury
Sunday,49,Male,Primary,Motorcycle,0,80,Cloudy,Daylight,Snow,Drunk Driving,Fatal Injury
Saturday,28,Male,Secondary,Motorcycle,28,40,Cloudy,Daylight,Ice,Mechanical Failure,Slight Injury
Monday,62,Female,Secondary,Automobile,21,50,Cloudy,Twilight,Wet,Fatigue,Slight Injury
Monday,42,Female,Secondary,Taxi,16,40,Rain,Night,Snow,Mechanical Failure,Slight Injury
Monday,50,Male,Illiterate,Taxi,18,100,Rain,Daylight,Dry,Drunk Driving,Serious Injury
Wednesday,55,Male,Secondary,Taxi,26,40,Rain,Daylight,Snow,Mechanical Failure,Slight Injury
Saturday,58,Female,Illiterate,Motorcycle,5,40,Cloudy,Daylight,Wet,Overspeed,Serious Injury
Monday,25,Male,Primary,Automobile,2,80,Cloudy,Night,Wet,Drunk Driving,Fatal Injury
Thursday,28,Male,Tertiary,Lorry,23,80,Clear,Night,Snow,Distracted,Serious Injury
Friday,39,Female,Tertiary,Motorcycle,4,100,Cloudy,Twilight,Wet,Mechanical Failure,Serious Injury
Monday,68,Male,Tertiary,Motorcycle,1,100,Rain,Daylight,Ice,Overspeed,Fatal Injury
Wednesday,41,Female,Tertiary,Automobile,19,80,Cloudy,Daylight,Snow,Fatigue,Serious Injury
Sunday,58,Male,Illiterate,Bus,24,40,Cloudy,Twilight,Dry,Fatigue,Slight Injury
Saturday,34,Male,Illiterate,Motorcycle,3,50,Clear,Daylight,Snow,Mechanical Failure,Slight Injury
Wednesday,29,Female,Secondary,Bus,9,30,Cloudy,Twilight,Snow,Fatigue,Slight Injury
Monday,63,Female,Illiterate,Bus,9,70,Fog,Twilight,Snow,Distracted,Serious Injury
Saturday,49,Male,Secondary,Taxi,23,30,Clear,Daylight,Snow,Drunk Driving,Serious Injury
Friday,32,Female,Secondary,Automobile,20,100,Cloudy,Night,Dry,Overspeed,Serious Injury
Monday,33,Male,Tertiary,Bus,10,100,Cloudy,Night,Dry,Weather,Slight Injury
Wednesday,39,Male,Illiterate,Automobile,26,30,Clear,Night,Dry,Mechanical Failure,Slight Injury
Tuesday,45,Female,Illiterate,Taxi,15,70,Cloudy,Night,Snow,Fatigue,Serious Injury
Thursday,37,Male,Secondary,Automobile,25,40,Rain,Daylight,Ice,Drunk Driving,Serious Injury
Sunday,50,Male,Secondary,Motorcycle,28,50,Fog,Twilight,Ice,Weather,Slight Injury
Wednesday,27,Female,Primary,Bus,28,50,Fog,Twilight,Dry,Distracted,Slight Injury
Saturday,57,Female,Primary,Automobile,29,30,Rain,Daylight,Ice,Fatigue,Slight Injury
Monday,49,Male,Secondary,Lorry,16,70,Cloudy,Night,Ice,Fatigue,Serious Injury
Thursday,67,Female,Primary,Automobile,15,100,Cloudy,Twilight,Ice,Overspeed,Serious Injury
Monday,50,Female,Primary,Bus,6,60,Fog,Daylight,Ice,Distracted,Slight Injury
Saturday,19,Female,Secondary,Taxi,15,40,Cloudy,Daylight,Ice,Distracted,Slight Injury
Monday,50,Female,Secondary,Taxi,2,30,Fog,Night,Wet,Mechanical Failure,Serious Injury
Tuesday,50,Male,Illiterate,Bus,25,50,Fog,Daylight,Dry,Weather,Slight Injury
Thursday,58,Male,Secondary,Motorcycle,15,100,Rain,Twilight,Snow,Overspeed,Fatal Injury
Thursday,30,Male,Secondary,Motorcycle,7,80,Fog,Twilight,Ice,Mechanical Failure,Serious Injury
Saturday,47,Female,Tertiary,Taxi,29,80,Cloudy,Daylight,Wet,Overspeed,Serious Injury
Sunday,50,Female,Illiterate,Taxi,11,70,Cloudy,Twilight,Snow,Distracted,Serious Injury
Tuesday,30,Female,Illiterate,Bus,2,70,Clear,Daylight,Wet,Overspeed,Fatal Injury
Wednesday,69,Female,Illiterate,Motorcycle,16,30,Cloudy,Twilight,Ice,Overspeed,Serious Injury
Monday,43,Female,Tertiary,Taxi,20,60,Clear,Night,Ice,Overspeed,Serious Injury
Friday,39,Female,Secondary,Motorcycle,17,50,Fog,Twilight,Ice,Drunk Driving,Serious Injury
Monday,56,Female,Illiterate,Taxi,10,30,Cloudy,Night,Ice,Drunk Driving,Serious Injury
Monday,19,Male,Illiterate,Automobile,3,60,Rain,Night,Snow,Weather,Serious Injury
Wednesday,55,Male,Primary,Lorry,15,100,Rain,Daylight,Snow,Weather,Serious Injury
Monday,56,Female,Illiterate,Automobile,16,70,Rain,Night,Wet,Distracted,Serious Injury
Tuesday,43,Female,Secondary,Taxi,8,80,Fog,Twilight,Dry,Overspeed,Serious Injury
Tuesday,63,Female,Secondary,Lorry,5,40,Fog,Twilight,Ice,Distracted,Slight Injury
Thursday,67,Male,Primary,Lorry,23,100,Clear,Night,Wet,Drunk Driving,Serious Injury
Saturday,32,Male,Illiterate,Taxi,26,80,Rain,Daylight,Wet,Overspeed,Fatal Injury
Sunday,51,Female,Illiterate,Taxi,19,50,Clear,Night,Wet,Mechanical Failure,Slight Injury
Friday,59,Female,Illiterate,Motorcycle,24,50,Clear,Twilight,Ice,Drunk Driving,Serious Injury
Monday,61,Male,Tertiary,Taxi,1,80,Cloudy,Twilight,Ice,Drunk Driving,Fatal Injury
Monday,66,Male,Illiterate,Bus,8,100,Cloudy,Night,Wet,Drunk Driving,Serious Injury
Wednesday,57,Male,Secondary,Taxi,27,80,Rain,Night,Ice,Overspeed,Fatal Injury
Saturday,28,Male,Secondary,Bus,20,60,Fog,Night,Wet,Weather,Slight Injury
Tuesday,20,Female,Tertiary,Taxi,28,30,Cloudy,Twilight,Snow,Fatigue,Slight Injury
Friday,23,Male,Tertiary,Motorcycle,5,70,Fog,Twilight,Ice,Mechanical Failure,Serious Injury
